Campaign_ID,Platform,Ad_Spend,Impressions,Clicks,Conversions,Revenue,Region,Age_Group,Start_Date,End_Date,Campaign_Type,Targeted_Location,CTR,Conversion_Rate,ROI,Content Production (45%),Distribution (35%),Analytics (20%)
1,Twitter,12706,752830,338,1625,94461,Asia,35-44,7/16/23,7/21/23,Lead Generation,Shanghai,0.04%,481%,643%,2901.186296,4048.134062,5756.679643
2,Twitter,16466,514861,48190,1466,98314,Africa,35-44,10/30/23,11/28/23,Conversion,Lagos,9.36%,3%,497%,5634.720389,8737.650887,2093.628724
3,TikTok,15269,259601,7907,186,82473,Europe,18-24,12/1/23,12/18/23,Lead Generation,London,3.05%,2%,440%,4994.171632,4784.626922,5490.201446
4,LinkedIn,11001,486637,29214,794,92907,South America,35-44,11/10/23,11/27/23,Awareness,Bogotá,6.00%,3%,745%,5263.434636,4216.598325,1520.967039
5,Instagram,3658,680494,14902,281,98900,Africa,18-24,9/23/23,10/1/23,Lead Generation,Cairo,2.19%,2%,2604%,884.7651769,2048.161607,725.073216
6,TikTok,10480,627756,22547,1913,66561,South America,55+,3/18/23,3/26/23,Conversion,Buenos Aires,3.59%,8%,535%,2268.912886,4856.478508,3354.608606
7,TikTok,4845,387240,25279,1336,3203,North America,35-44,10/5/23,10/26/23,Conversion,Los Angeles,6.53%,5%,-34%,1755.826753,2243.446331,845.7269156
8,Twitter,1494,632437,36978,1410,79157,Asia,45-54,4/7/23,4/28/23,Conversion,Mumbai,5.85%,4%,5198%,455.053718,763.9729268,274.9733552
9,Twitter,6997,239812,15778,51,44998,South America,25-34,3/9/23,3/31/23,Conversion,Buenos Aires,6.58%,0%,543%,3344.44746,3264.571558,387.9809829
10,Facebook,13317,58067,10453,929,29387,South America,35-44,11/14/23,12/14/23,Conversion,Buenos Aires,18.00%,9%,121%,3398.097663,4853.384977,5065.51736
11,TikTok,2426,615493,48429,422,97577,South America,45-54,3/2/23,3/30/23,Conversion,São Paulo,7.87%,1%,3922%,499.9955827,1438.802319,487.2020979
12,Facebook,9819,763848,16199,1884,64983,Asia,55+,2/13/23,3/9/23,Awareness,Tokyo,2.12%,12%,562%,4570.937444,4889.214333,358.848223
